Time (us),Volts (mV),Amps (mA),Frequency (Hz)
0,-2.41,-4.01,100
823,-7.62,28.08,
1650,5.21,44.13,
2475,7.22,44.13,
3300,10.83,68.2,
4124,20.06,64.19,
4947,33.7,84.25,
5772,24.47,96.28,
6597,35.7,96.28,
7422,40.52,116.34,
8247,40.92,132.39,
9073,33.7,148.44,
9897,44.93,164.48,
10722,42.93,172.51,
11548,54.96,168.5,
12373,62.98,196.58,
13197,64.99,212.63,
14022,70.21,220.65,
14846,67.8,224.66,
15670,64.19,232.68,
16496,73.01,240.71,
17321,79.83,244.72,
18145,78.63,236.7,
18970,81.44,276.82,
19795,80.64,252.74,
20621,73.82,264.78,
21447,82.64,260.77,
22273,90.26,272.8,
23098,83.85,284.84,
23922,90.67,280.83,
24747,90.26,264.78,
25572,84.25,280.83,
26398,94.68,268.79,
27223,95.88,288.85,
28049,91.87,264.78,
28874,93.87,272.8,
29699,78.23,276.81,
30524,73.01,272.8,
31351,84.25,256.76,
32177,85.45,240.71,
33001,81.84,260.77,
33826,81.84,248.73,
34650,80.23,244.72,
35475,76.22,220.65,
36300,75.02,220.65,
37124,77.03,208.61,
37949,71.01,200.59,
38776,67.8,180.53,
39602,66.59,188.55,
40428,41.72,172.51,
41254,48.94,160.47,
42079,51.35,124.37,
42903,46.54,132.39,
43730,41.72,120.35,
44555,44.93,124.37,
45380,34.1,104.31,
46205,25.27,92.27,
47028,25.27,80.24,
47851,26.48,48.14,
48676,20.06,64.19,
49500,22.06,40.12,
50325,5.21,0,
51150,-4.41,-4.01,
51973,-5.62,4.01,
52798,-7.22,-28.08,
53623,-10.43,-48.14,
54448,-12.84,-36.1,
55274,-18.86,-64.19,
56100,-22.07,-88.26,
56924,-29.69,-88.26,
57749,-25.68,-88.26,
58573,-35.3,-104.3,
59398,-34.9,-132.39,
60223,-43.33,-140.41,
61049,-71.41,-164.48,
61872,-64.99,-176.52,
62698,-61.38,-184.54,
63523,-65.79,-204.6,
64349,-68.2,-200.59,
65173,-72.61,-216.63,
65998,-79.03,-240.71,
66823,-82.24,-252.74,
67648,-77.43,-248.73,
68471,-81.84,-260.76,
69295,-84.25,-256.75,
70121,-84.65,-284.84,
70945,-96.28,-272.8,
71771,-103.1,-264.78,
72595,-96.28,-292.86,
73421,-97.09,-288.85,
74247,-95.88,-276.81,
75073,-94.28,-280.82,
75898,-100.3,-304.9,
76725,-98.69,-292.86,
77550,-96.69,-288.85,
78375,-98.69,-284.84,
79198,-90.27,-264.78,
80023,-89.06,-268.79,
80846,-102.7,-268.79,
81670,-103.1,-260.76,
82495,-90.67,-228.67,
83320,-87.46,-244.72,
84146,-78.63,-244.72,
84970,-79.03,-212.62,
85796,-86.25,-196.58,
86622,-67.8,-208.61,
87447,-56.97,-204.6,
