Time (us),Volts (mV),Amps (mA),Frequency (Hz)
0,10.59,12.03,1
82735,23.03,16.05,
165473,20.22,24.07,
248209,22.23,28.08,
330946,37.07,36.11,
413680,25.03,40.12,
496418,34.66,44.13,
579155,27.04,64.19,
661890,42.69,64.19,
744625,39.88,48.14,
827361,47.5,60.18,
910097,43.89,88.26,
992833,55.12,80.23,
1075568,51.51,88.26,
1158304,51.11,108.32,
1241041,69.56,100.3,
1323778,66.36,108.32,
1406514,73.58,100.29,
1489250,78.79,108.32,
1571985,86.01,120.35,
1654722,84.01,116.34,
1737458,76.79,120.35,
1820194,73.98,124.37,
1902932,83.21,104.31,
1985668,77.19,124.36,
2068404,80.8,116.34,
2151140,89.22,112.33,
2233877,82.8,132.39,
2316615,82.8,140.41,
2399351,77.19,132.39,
2482087,86.01,144.42,
2564824,89.22,136.4,
2647560,91.63,148.44,
2730299,97.25,140.41,
2813035,92.43,132.39,
2895770,97.65,132.39,
2978507,90.83,116.34,
3061244,80.8,120.35,
3143980,94.84,112.33,
3226717,84.01,120.35,
3309453,90.03,124.37,
3392190,76.39,116.34,
3474926,77.99,128.38,
3557661,80.4,100.3,
3640399,65.55,84.25,
3723137,61.94,96.28,
3805874,61.54,88.26,
3888609,62.34,60.18,
3971347,65.95,80.23,
4054083,66.76,96.28,
4136821,64.75,76.22,
4219556,47.9,76.22,
4302293,58.73,56.16,
4385028,49.1,52.15,
4467765,50.31,60.18,
4550502,47.9,44.13,
4633240,39.48,40.12,
4715977,41.88,24.07,
4798713,32.66,24.07,
4881448,19.82,12.04,
4964184,19.02,4.01,
5046921,0.96,-32.1,
5129656,-7.46,-44.13,
5212393,3.37,-36.11,
5295129,-10.67,-44.13,
5377865,-1.04,-48.14,
5460600,-11.07,-48.14,
5543337,-16.69,-68.2,
5626073,-14.28,-52.15,
5708809,-16.69,-76.23,
5791545,-18.69,-100.3,
5874282,-27.12,-108.32,
5957019,-23.91,-124.37,
6039754,-32.74,-128.38,
6122490,-52.39,-128.38,
6205226,-53.6,-140.42,
6287965,-64.83,-144.42,
6370702,-55.6,-148.44,
6453439,-63.23,-160.47,
6536176,-66.43,-152.45,
6618913,-74.46,-160.47,
6701649,-87.7,-164.48,
6784386,-91.71,-172.51,
6867123,-82.48,-180.53,
6949861,-73.66,-176.52,
7032596,-89.7,-180.53,
7115332,-75.26,-192.57,
7198068,-79.27,-196.58,
7280804,-80.07,-204.6,
7363541,-88.5,-188.55,
7446277,-93.71,-208.61,
7529013,-90.51,-192.57,
7611748,-96.52,-192.57,
7694484,-82.48,-196.58,
7777221,-81.68,-192.57,
7859958,-83.28,-192.57,
7942693,-92.51,-184.54,
8025430,-101.74,-192.57,
8108165,-89.3,-184.54,
8190904,-94.12,-160.47,
8273639,-72.05,-164.48,
8356376,-75.26,-132.39,
8439112,-63.23,-136.4,
8521851,-64.83,-136.4,
8604587,-72.85,-136.4,
8687324,-59.21,-120.36,
8770061,-54,-128.38,
8852797,-45.57,-116.34,
8935534,-48.78,-108.32,
9018269,-41.56,-116.34,
9101004,-46.38,-116.34,
9183739,-36.75,-100.3,
9266475,-41.16,-80.24,
9349211,-46.78,-48.14,
9431949,-26.32,-52.15,
9514685,-28.32,-40.12,
9597421,-6.26,-44.13,
9680159,-16.29,-24.07,
9762895,-1.04,-40.12,
9845631,-9.47,-36.11,
9928367,3.37,20.06,
10011103,22.63,12.03,
10093841,21.82,0,
10176576,32.66,32.09,
10259313,37.47,32.09,
10342050,40.28,52.15,
10424786,43.89,48.14,
10507522,23.43,52.15,
10590258,47.5,48.14,
10672994,39.88,96.28,
10755729,47.5,68.2,
10838466,46.7,72.21,
10921202,64.35,60.18,
11003939,60.34,76.22,
11086675,41.48,92.27,
11169411,62.74,88.26,
11252146,57.53,96.28,
11334883,71.97,112.33,
11417619,75.98,116.34,
11500356,87.22,100.3,
11583093,86.01,120.35,
11665830,82.8,128.38,
11748567,84.41,128.38,
11831304,82.4,132.39,
11914042,93.64,132.39,
11996778,87.62,128.38,
12079516,91.63,140.41,
12162252,80.4,140.41,
12244988,93.64,144.42,
12327724,82.4,128.37,
12410460,80,148.44,
12493197,94.44,144.42,
12575934,80.8,148.44,
12658670,95.24,140.41,
12741407,96.85,144.42,
12824143,90.03,136.4,
12906879,88.82,132.39,
12989615,86.41,136.4,
13072352,93.23,120.35,
13155088,86.41,128.38,
13237826,100.86,108.32,
13320561,91.63,124.36,
13403299,87.22,124.37,
13486036,74.78,108.32,
13568771,65.55,104.31,
13651508,81.6,96.28,
13734245,61.14,104.3,
13816980,79.59,92.27,
13899715,60.74,80.24,
13982451,64.35,56.16,
14065189,61.54,60.18,
14147927,47.1,60.18,
14230662,58.73,44.13,
14313399,49.1,44.13,
14396136,57.13,44.13,
14478873,45.9,44.13,
14561609,50.31,24.07,
14644346,47.5,36.11,
14727082,29.05,28.08,
14809819,31.45,12.03,
14892555,22.23,16.04,
14975293,19.82,-20.06,
15058029,6.58,-32.09,
15140764,7.38,-64.19,
15223501,-1.44,-60.18,
15306237,-13.48,-80.23,
15388974,-18.69,-60.18,
15471711,-29.12,-56.17,
15554446,-12.68,-72.21,
15637184,-19.5,-72.21,
15719922,-27.92,-92.27,
15802657,-25.51,-80.24,
15885394,-28.72,-88.26,
15968132,-45.97,-112.33,
16050870,-46.78,-116.34,
16133605,-45.97,-140.41,
16216340,-51.59,-152.45,
16299077,-45.57,-140.41,
16381814,-62.82,-148.44,
16464549,-57.21,-168.5,
16547286,-78.07,-180.53,
16630022,-76.06,-160.47,
16712758,-81.28,-180.53,
16795494,-83.69,-208.61,
16878231,-82.48,-188.55,
16960968,-80.88,-196.58,
17043704,-76.06,-200.59,
17126440,-85.29,-200.59,
17209176,-87.3,-200.59,
17291913,-79.67,-196.58,
17374649,-92.51,-204.6,
17457385,-78.47,-184.54,
17540123,-84.09,-188.55,
17622860,-84.09,-184.54,
17705597,-86.49,-172.51,
17788334,-106.95,-176.52,
17871070,-84.89,-168.5,
17953807,-96.52,-168.49,
18036543,-85.69,-180.53,
18119278,-90.51,-180.53,
18202015,-81.68,-184.54,
18284751,-80.07,-172.51,
18367488,-88.9,-188.55,
18450225,-70.45,-164.48,
18532963,-71.25,-148.44,
18615699,-61.62,-124.37,
18698436,-61.62,-124.37,
18781174,-49.18,-112.33,
18863911,-45.97,-88.26,
18946646,-39.96,-92.27,
19029382,-46.38,-88.26,
19112120,-46.38,-88.26,
19194857,-31.53,-64.19,
19277591,-28.32,-56.16,
19360328,-19.5,-56.16,
19443064,-22.71,-60.18,
19525800,-19.9,-52.15,
19608537,-18.69,-40.12,
19691273,-17.89,-32.09,
19774012,-12.28,-32.09,
19856748,6.58,20.06,
19939485,17.01,28.08,
20022222,21.82,28.08,
20104959,27.04,28.08,
20187695,25.44,32.09,
20270431,20.22,48.14,
20353168,37.87,24.07,
20435904,36.67,40.12,
20518641,45.9,60.18,
20601378,42.28,68.2,
20684115,50.71,64.19,
20766853,52.31,92.27,
20849589,49.91,80.23,
20932326,55.12,84.25,
21015062,47.9,100.29,
21097797,57.13,96.28,
21180534,55.12,108.32,
21263271,65.15,112.33,
21346007,72.77,112.33,
21428742,68.76,104.3,
21511479,76.79,120.35,
21594216,73.98,132.39,
21676953,81.6,140.41,
21759689,84.41,132.39,
21842427,85.61,144.42,
21925164,82.4,128.37,
22007901,91.63,136.4,
22090636,87.62,148.44,
22173373,78.79,136.4,
22256109,91.63,120.35,
22338846,90.43,120.35,
22421581,94.44,148.44,
22504316,81.6,144.42,
22587052,87.62,144.42,
22669789,71.17,128.38,
22752525,76.39,132.39,
22835262,84.01,140.41,
22917997,84.81,124.37,
23000733,90.03,132.39,
23083472,87.62,128.38,
23166209,87.62,108.32,
23248945,77.19,92.27,
23331680,74.38,116.34,
23414417,80,104.31,
23497154,70.37,96.28,
23579890,74.78,92.27,
23662625,77.99,96.28,
23745362,72.37,92.27,
23828099,60.34,92.27,
23910836,39.48,76.22,
23993572,52.31,60.18,
24076309,47.1,68.2,
24159045,49.1,60.18,
24241781,52.31,56.16,
24324518,47.5,52.15,
24407254,45.9,48.14,
24489989,30.25,24.07,
24572725,38.27,20.06,
24655461,30.25,24.07,
24738198,29.45,24.07,
24820934,30.25,16.05,
24903669,15.41,-20.06,
24986405,3.37,-24.07,
25069142,-3.85,-24.07,
25151878,-2.25,-52.16,
25234614,-12.28,-56.16,
25317351,-15.08,-60.18,
25400087,-16.69,-64.19,
25482824,-15.89,-72.21,
25565559,-24.71,-88.26,
25648296,-29.12,-104.31,
25731031,-35.54,-96.28,
25813766,-43.17,-104.31,
25896503,-37.95,-108.32,
25979239,-44.77,-124.37,
26061975,-42.76,-136.4,
26144710,-47.98,-136.4,
26227446,-52.39,-152.45,
26310183,-64.43,-176.52,
26392920,-66.43,-176.52,
26475655,-67.64,-184.54,
26558392,-70.45,-168.5,
26641129,-80.07,-168.5,
26723866,-88.1,-172.51,
26806602,-77.67,-160.47,
26889340,-88.9,-184.54,
26972076,-98.53,-180.53,
27054812,-94.92,-180.53,
27137549,-93.71,-176.52,
27220286,-81.68,-188.55,
27303021,-92.11,-196.58,
27385756,-83.69,-196.58,
27468493,-83.28,-208.61,
27551230,-95.72,-224.66,
27633966,-83.28,-204.6,
27716702,-91.71,-200.59,
27799439,-84.49,-188.55,
27882177,-90.91,-168.5,
27964914,-78.87,-176.52,
28047649,-86.89,-160.47,
28130387,-90.91,-136.4,
28213125,-82.88,-160.47,
28295862,-85.69,-144.43,
28378597,-74.06,-148.44,
28461335,-78.07,-140.41,
28544072,-62.42,-136.4,
28626808,-64.03,-124.37,
28709544,-49.99,-128.38,
28792279,-52.79,-108.32,
28875017,-54,-96.28,
28957752,-43.57,-108.32,
29040489,-38.75,-92.27,
29123226,-28.72,-76.23,
29205963,-28.72,-48.14,
29288699,-17.49,-56.16,
29371435,-20.7,-48.14,
29454172,-27.52,-40.12,
29536910,-15.48,-32.09,
29619647,-13.48,-28.08,
29702383,-1.84,-28.08,
29785120,10.59,12.03,
29867858,8.99,20.06,
29950593,3.77,32.09,
30033330,13.4,32.09,
30116068,28.64,36.11,
30198802,28.24,52.15,
30281539,36.67,64.19,
30364275,40.68,48.14,
30447010,42.69,60.18,
30529746,47.5,60.18,
30612482,41.48,76.22,
30695218,46.3,72.21,
30777956,50.71,84.25,
30860691,59.94,84.25,
30943428,53.12,92.27,
31026166,69.56,92.27,
31108902,62.74,100.3,
31191637,57.13,108.32,
31274373,69.97,108.32,
31357111,59.94,112.33,
31439848,74.78,108.32,
31522585,71.97,120.35,
31605320,84.41,116.34,
31688058,80.8,128.38,
31770794,82,148.44,
31853530,82.8,156.46,
31936268,78.79,144.42,
32019003,90.03,132.39,
32101740,86.01,156.46,
32184477,92.43,148.44,
32267213,86.82,132.39,
32349952,85.61,128.38,
32432688,88.42,116.34,
32515426,77.99,124.37,
32598163,89.62,132.39,
32680900,89.22,124.37,
32763636,85.21,128.38,
32846374,79.19,128.38,
32929110,88.42,112.33,
33011847,78.79,132.39,
33094583,67.16,136.4,
33177320,81.6,116.34,
33260056,75.58,120.35,
33342793,79.59,100.29,
33425529,76.39,104.31,
33508267,72.77,104.31,
33591002,68.76,76.22,
33673738,58.73,84.25,
33756476,60.34,84.25,
33839212,60.34,80.23,
33921949,57.53,76.22,
34004686,47.1,64.19,
34087422,57.53,48.14,
34170159,52.72,56.16,
34252896,30.25,40.12,
34335632,41.08,40.12,
34418369,35.87,40.12,
34501106,39.08,28.08,
34583843,36.67,4.01,
34666578,34.66,24.07,
34749313,26.64,12.03,
34832051,2.57,-20.06,
34914785,3.37,-32.09,
34997522,-3.05,-44.13,
35080259,-3.45,-40.12,
35162993,-11.47,-48.14,
35245728,-3.45,-56.16,
35328465,-12.28,-64.19,
35411202,-23.11,-68.2,
35493938,-23.11,-76.23,
35576672,-36.75,-104.31,
35659408,-32.33,-96.28,
35742146,-45.97,-100.3,
35824883,-37.15,-104.31,
35907618,-45.57,-128.38,
35990356,-47.58,-128.38,
36073093,-56.81,-136.4,
36155831,-70.05,-140.41,
36238567,-60.02,-140.41,
36321303,-66.43,-156.46,
36404041,-70.05,-172.51,
36486778,-70.45,-176.52,
36569514,-70.45,-200.59,
36652251,-80.07,-204.6,
36734987,-91.71,-172.51,
36817722,-89.7,-204.6,
36900457,-88.5,-192.57,
36983196,-84.09,-184.54,
37065932,-88.5,-200.59,
37148668,-84.09,-192.57,
37231405,-94.52,-200.59,
37314144,-100.53,-176.52,
37396881,-91.31,-180.53,
37479617,-90.91,-180.53,
37562353,-88.1,-180.53,
37645092,-89.3,-192.57,
37727830,-82.88,-176.52,
37810566,-84.89,-188.55,
37893303,-90.51,-200.59,
37976040,-80.88,-176.52,
38058777,-87.3,-168.5,
38141515,-82.48,-168.49,
38224251,-77.67,-144.42,
38306987,-69.64,-140.42,
38389722,-68.04,-140.42,
38472459,-69.64,-128.38,
38555196,-65.63,-116.34,
38637933,-72.45,-112.33,
38720669,-52.79,-116.34,
38803406,-48.78,-92.27,
38886143,-40.76,-88.26,
38968879,-39.15,-84.25,
39051616,-31.53,-68.2,
39134354,-33.14,-52.15,
39217091,-33.14,-48.14,
39299827,-19.5,-48.14,
39382562,-13.88,-56.16,
39465298,-10.27,-28.08,
39548034,-9.87,-36.11,
39630770,-8.66,-24.07,
39713506,8.59,16.04,
39796244,5.78,28.08,
39878980,15.41,28.08,
39961717,13.8,24.07,
40044453,25.44,44.13,
40127190,22.63,36.11,
40209927,33.46,36.11,
40292663,39.08,60.18,
40375400,26.24,56.16,
40458136,44.69,64.19,
40540874,43.09,84.25,
40623609,47.5,76.22,
40706346,53.92,84.25,
40789083,61.94,76.22,
40871821,61.54,92.27,
40954557,51.11,100.29,
41037293,61.14,100.29,
41120030,62.34,120.35,
41202766,68.36,112.33,
41285502,69.97,120.35,
41368239,77.19,120.35,
41450975,71.97,136.4,
41533712,78.79,144.42,
41616448,76.39,124.37,
41699186,72.77,136.4,
41781923,80.8,128.38,
41864658,84.41,128.38,
41947394,91.23,124.36,
42030131,89.62,132.39,
42112867,90.83,148.44,
42195604,86.01,152.45,
42278341,82.4,144.42,
42361078,92.83,144.42,
42443816,84.01,148.44,
42526551,88.42,144.42,
42609288,83.61,140.41,
42692024,88.42,136.4,
42774759,88.02,120.35,
42857496,73.98,116.34,
42940233,78.39,120.35,
43022970,71.57,112.33,
43105706,77.99,112.33,
43188443,76.39,124.37,
43271179,81.2,116.34,
43353916,77.59,88.26,
43436652,62.34,100.3,
43519389,69.16,108.32,
43602126,63.55,92.27,
43684863,65.15,84.25,
43767599,54.32,72.21,
43850336,55.93,68.2,
43933073,55.12,68.2,
44015808,43.09,64.19,
44098543,39.88,64.19,
44181280,39.48,64.19,
44264016,39.88,40.11,
44346752,31.05,40.12,
44429489,37.47,16.05,
44512226,29.85,20.06,
44594962,28.24,28.08,
44677698,24.23,0,
44760436,3.77,-20.06,
44843174,5.38,-32.09,
44925910,1.77,-40.12,
45008646,4.17,-52.15,
45091383,-1.84,-48.14,
45174120,-10.27,-64.19,
45256857,-18.29,-60.18,
45339593,-24.71,-68.2,
45422330,-24.31,-80.24,
45505067,-35.94,-96.28,
45587802,-26.32,-108.32,
45670540,-34.74,-104.31,
45753276,-37.55,-124.37,
45836012,-47.98,-124.37,
45918747,-64.43,-164.48,
46001485,-56.81,-152.45,
46084221,-64.43,-152.45,
46166959,-58.81,-148.44,
46249695,-70.05,-148.44,
46332432,-68.04,-164.48,
46415169,-70.85,-164.48,
46497905,-89.7,-168.49,
46580640,-77.27,-164.48,
46663378,-87.3,-180.53,
46746115,-88.9,-188.55,
46828853,-98.13,-196.58,
46911589,-79.27,-200.59,
46994327,-87.3,-184.54,
47077063,-84.89,-196.58,
47159799,-98.13,-200.59,
47242536,-99.33,-204.6,
47325273,-102.14,-220.65,
47408009,-94.12,-188.55,
47490747,-86.09,-200.59,
47573484,-90.51,-172.51,
47656221,-82.88,-172.51,
47738958,-88.5,-184.54,
47821695,-91.31,-172.51,
47904433,-83.69,-168.5,
47987169,-81.28,-172.51,
48069906,-70.05,-164.48,
48152643,-73.25,-144.43,
48235380,-73.25,-156.46,
48318118,-70.05,-160.47,
48400855,-71.25,-136.4,
48483592,-60.42,-120.35,
48566329,-66.43,-112.33,
48649067,-46.78,-108.32,
48731803,-46.78,-104.31,
48814539,-45.57,-92.27,
48897276,-37.15,-84.25,
48980011,-41.96,-88.26,
49062747,-29.93,-64.19,
